123-91-1	25	6.18E+00
126-33-0	30	1.14E+01
110-01-0	25	1.31E+03
3195-86-6	25	7.20E+02
3772-13-2	25	2.63E+02
5954-71-2	25	9.97E+01
5955-98-6	25	9.97E+01
109-65-9	25	8.76E+03
78-76-2	25	1.22E+04
78-77-3	18	1.49E+04
507-19-7	25	4.91E+03
5787-31-5	25	1.22E+04
109-69-3	25	8.35E+03
78-86-4	25	5.58E+03
513-36-0	25	6.58E+03
507-20-0	14.85	1.79E+03
2366-52-1	25	1.26E+03
359-01-3	25	9.15E+02
359-00-2	25	5.77E+02
353-61-7	25	4.74E+02
542-69-8	25	3.27E+04
513-48-4	25	2.69E+04
52152-71-3	25	2.70E+04
513-38-2	25	2.74E+04
558-17-8	25	9.76E+03
127-19-5	85.5	2.00E+00
110-91-8	112.5	1.33E+00
627-05-4	25	1.59E+03
62-57-7	25	4.28E+01
928-45-0	25	8.54E+03
80-68-2	25	4.05E+01
72-19-5	25	6.92E+01
144-98-9	25	5.52E+01
57-00-1	18	5.48E+02
55-18-5	24	5.44E+01
71-36-3	25	5.42E+01
78-83-1	25	4.23E+01
78-92-2	25	3.78E+01
75-65-0	25	2.04E+01
14898-79-4	25	2.23E+01
4221-99-2	25	2.22E+01
15892-23-6	25	2.12E+01
557-17-5	25	1.35E+02
598-53-8	25	6.21E+01
60-29-7	25	6.62E+01
110-80-5	68	5.86E+00
110-63-4	115	3.37E+00
6982-25-8	96.5	6.99E+00
5341-95-7	96.5	6.99E+00
19132-06-0	96.5	6.99E+00
24347-58-8	96.5	6.99E+00
513-85-9	96.5	6.99E+00
597-35-3	16	5.12E+01
111-46-6	62	5.48E+00
109-79-5	25	8.38E+03
513-53-1	25	8.34E+03
513-44-0	25	2.91E+03
75-66-1	25	2.44E+03
3877-15-4	25	2.69E+03
352-93-2	25	1.60E+03
1551-21-9	25	1.52E+03
2179-60-4	25	2.32E+04
110-81-6	25	2.26E+04
2	25	3.95E+04
6628-18-8	25	1.10E+05
109-73-9	25	7.70E+00
78-81-9	20	8.71E+00
13952-84-6	25	6.78E+00
75-64-9	25	2.53E+00
33966-50-6	25	6.69E+00
13250-12-9	25	5.79E+00
513-49-5	25	6.42E+00
627-35-0	25	9.58E+00
4747-21-1	25	4.92E+00
109-89-7	25	6.42E+00
598-56-1	25	8.58E+00
108-01-0	25	6.40E-01
2439-99-8	20	5.99E+01
